draw,seed,term,curator_minus_audience_log_odds
1,20260813,z_positive_sentiment,0.0632167702546719
1,20260813,z_negative_sentiment,-0.0300420608563806
1,20260813,z_lexical_diversity,-0.0560470473143578
1,20260813,z_reading_difficulty,-0.0267957391365745
1,20260813,z_topical_similarity,-0.0487212794168337
1,20260813,z_log_words,0.280317121957464
1,20260813,z_log_punctuation,0.0179422050175166
1,20260813,second_person,0.0786518694474608
1,20260813,z_log_followers,-0.00842167082727019
1,20260813,z_log_posting_hours,0.486083182051044
2,20260814,z_positive_sentiment,0.0592190948244655
2,20260814,z_negative_sentiment,-0.0308164990644782
2,20260814,z_lexical_diversity,-0.0609895557078905
2,20260814,z_reading_difficulty,-0.0291608883878859
2,20260814,z_topical_similarity,-0.0471305561023381
2,20260814,z_log_words,0.292542431700971
2,20260814,z_log_punctuation,0.0142575231739493
2,20260814,second_person,0.0808995775135127
2,20260814,z_log_followers,-0.00463642490213342
2,20260814,z_log_posting_hours,0.485496389749657
3,20260815,z_positive_sentiment,0.0624369918789234
3,20260815,z_negative_sentiment,-0.0290691771378698
3,20260815,z_lexical_diversity,-0.0575973277297197
3,20260815,z_reading_difficulty,-0.0280575690730848
3,20260815,z_topical_similarity,-0.0500816379608006
3,20260815,z_log_words,0.281945886671634
3,20260815,z_log_punctuation,0.0202571625494571
3,20260815,second_person,0.0860344835387657
3,20260815,z_log_followers,-0.00688459405626213
3,20260815,z_log_posting_hours,0.486303707005224
4,20260816,z_positive_sentiment,0.0622360214581584
4,20260816,z_negative_sentiment,-0.0278337487871031
4,20260816,z_lexical_diversity,-0.0527382183064439
4,20260816,z_reading_difficulty,-0.024004639181218
4,20260816,z_topical_similarity,-0.0493224886062759
4,20260816,z_log_words,0.283600387185079
4,20260816,z_log_punctuation,0.0118190873699554
4,20260816,second_person,0.104295981234641
4,20260816,z_log_followers,-0.00719629255863978
4,20260816,z_log_posting_hours,0.487937508311358
5,20260817,z_positive_sentiment,0.0624446276881474
5,20260817,z_negative_sentiment,-0.0276990783245211
5,20260817,z_lexical_diversity,-0.063892180561637
5,20260817,z_reading_difficulty,-0.0257215075600868
5,20260817,z_topical_similarity,-0.0466390553380913
5,20260817,z_log_words,0.288446643602521
5,20260817,z_log_punctuation,0.0173994108346353
5,20260817,second_person,0.0872300442743515
5,20260817,z_log_followers,-0.00542122091220163
5,20260817,z_log_posting_hours,0.483096517285261
6,20260818,z_positive_sentiment,0.0646739781685263
6,20260818,z_negative_sentiment,-0.0279448962572551
6,20260818,z_lexical_diversity,-0.0626301695411697
6,20260818,z_reading_difficulty,-0.0255677677580251
6,20260818,z_topical_similarity,-0.0446387102722546
6,20260818,z_log_words,0.287850347607372
6,20260818,z_log_punctuation,0.0171139347929398
6,20260818,second_person,0.0862872532519223
6,20260818,z_log_followers,-0.00765008298474568
6,20260818,z_log_posting_hours,0.493977491460191
7,20260819,z_positive_sentiment,0.0650215499543198
7,20260819,z_negative_sentiment,-0.027819906220473
7,20260819,z_lexical_diversity,-0.056279966040334
7,20260819,z_reading_difficulty,-0.0240629933330115
7,20260819,z_topical_similarity,-0.0465251954070165
7,20260819,z_log_words,0.279303255350958
7,20260819,z_log_punctuation,0.0208807649050828
7,20260819,second_person,0.0854875849033694
7,20260819,z_log_followers,-0.00828223209625244
7,20260819,z_log_posting_hours,0.485074340523916
8,20260820,z_positive_sentiment,0.0618831190230833
8,20260820,z_negative_sentiment,-0.0275256485291441
8,20260820,z_lexical_diversity,-0.0514838402297541
8,20260820,z_reading_difficulty,-0.0286620624818502
8,20260820,z_topical_similarity,-0.0487860896854717
8,20260820,z_log_words,0.285445141988516
8,20260820,z_log_punctuation,0.0135874953562158
8,20260820,second_person,0.0972666476781417
8,20260820,z_log_followers,-0.00678311914086528
8,20260820,z_log_posting_hours,0.484243754966223
9,20260821,z_positive_sentiment,0.0635029747832891
9,20260821,z_negative_sentiment,-0.0267198678350648
9,20260821,z_lexical_diversity,-0.0633093768928393
9,20260821,z_reading_difficulty,-0.025904521686756
9,20260821,z_topical_similarity,-0.0474340552695512
9,20260821,z_log_words,0.291253072538133
9,20260821,z_log_punctuation,0.0169487256407039
9,20260821,second_person,0.0898176011492452
9,20260821,z_log_followers,-0.00729641975937231
9,20260821,z_log_posting_hours,0.488491537546816
10,20260822,z_positive_sentiment,0.0623186292987542
10,20260822,z_negative_sentiment,-0.0263258195283542
10,20260822,z_lexical_diversity,-0.0556809668095072
10,20260822,z_reading_difficulty,-0.027015688687537
10,20260822,z_topical_similarity,-0.0480467408841681
10,20260822,z_log_words,0.285514392092563
10,20260822,z_log_punctuation,0.0128561544624154
10,20260822,second_person,0.0909239821353403
10,20260822,z_log_followers,-0.0060976398465121
10,20260822,z_log_posting_hours,0.489102712509768
